+---------------------------+--------------+--------------+---------------------------+----------------------+--------+------------------------------------------+--------------+--------------+
|         TIMESTAMP         |    EXEC_ID   |   TRANS_ID   |          FUNCTION         |         FILE         |  LINE  |                  MESSAGE                 |   PROC_TYPE  |    STATUS    |
+---------------------------+--------------+--------------+---------------------------+----------------------+--------+------------------------------------------+--------------+--------------+
| 2025-10-15 17:03:51       | 70           | N/A          | main                      | main.py              | 12     | ExecutionID: 70 - Process: FIN001_V3 -   | system       | information  |
|                           |              |              |                           |                      |        | Status: STARTING                         |              |              |
| 2025-10-15 17:03:52       | 70           | N/A          | verificarPasta            | verificarArquivoInpu | 20     | Iniciando verificação da pasta de        | system       | information  |
|                           |              |              |                           |                      |        | entrada                                  |              |              |
| 2025-10-15 17:03:53       | 70           | N/A          | verificarPasta            | verificarArquivoInpu | 38     | Feriados encontrados:                    | system       | information  |
|                           |              |              |                           |                      |        | {datetime.date(2025, 7, 9),              |              |              |
|                           |              |              |                           |                      |        | datetime.date(2024, 1, 1),               |              |              |
|                           |              |              |                           |                      |        | datetime.date(2025, 11, 20),             |              |              |
|                           |              |              |                           |                      |        | datetime.date(2025, 12, 25),             |              |              |
|                           |              |              |                           |                      |        | datetime.date(2025, 6, 19)}              |              |              |
| 2025-10-15 17:03:53       | 70           | N/A          | verificarPasta            | verificarArquivoInpu | 55     | Caminho da pasta a processar:            | system       | information  |
|                           |              |              |                           |                      |        | U:\Financeiro\05- RPA\A                  |              |              |
|                           |              |              |                           |                      |        | PROCESSAR\10.2025\14                     |              |              |
| 2025-10-15 17:03:53       | 70           | N/A          | verificarPasta            | verificarArquivoInpu | 78     | Arquivos encontrados na pasta:           | system       | information  |
|                           |              |              |                           |                      |        | ['SAL_DW07_02_131025P_MOV.TXT',          |              |              |
|                           |              |              |                           |                      |        | 'FORN_DW07_02_151025P_MOV.TXT',          |              |              |
|                           |              |              |                           |                      |        | 'EXTREL_QFVD_02_151025P_MOV.TXT']        |              |              |
| 2025-10-15 17:03:54       | 70           | N/A          | verificarPasta            | verificarArquivoInpu | 79     | Arquivo SAL encontrado:                  | system       | information  |
|                           |              |              |                           |                      |        | SAL_DW07_02_131025P_MOV.TXT              |              |              |
| 2025-10-15 17:03:54       | 70           | N/A          | verificarPasta            | verificarArquivoInpu | 80     | Arquivo FORN encontrado:                 | system       | information  |
|                           |              |              |                           |                      |        | FORN_DW07_02_151025P_MOV.TXT             |              |              |
| 2025-10-15 17:03:55       | 70           | N/A          | verificarPasta            | verificarArquivoInpu | 81     | Arquivo EXTREL encontrado:               | system       | information  |
|                           |              |              |                           |                      |        | EXTREL_QFVD_02_151025P_MOV.TXT           |              |              |
| 2025-10-15 17:03:55       | 70           | N/A          | movimentarArquivoParaLoca | verificarArquivoInpu | 103    | Iniciando movimentação de arquivos para  | system       | information  |
|                           |              |              |                           |                      |        | pasta temporária local: C:\BOT           |              |              |
| 2025-10-15 17:03:56       | 70           | N/A          | movimentarArquivoParaLoca | verificarArquivoInpu | 118    | Arquivos movidos para pasta temporária   | system       | information  |
|                           |              |              |                           |                      |        | local: ['C:\\BOT\\EXTREL_QFVD_02_151025P |              |              |
|                           |              |              |                           |                      |        | _MOV.TXT',                               |              |              |
|                           |              |              |                           |                      |        | 'C:\\BOT\\FORN_DW07_02_151025P_MOV.TXT', |              |              |
|                           |              |              |                           |                      |        | 'C:\\BOT\\SAL_DW07_02_131025P_MOV.TXT']  |              |              |
| 2025-10-15 17:03:56       | 70           | 28           | main                      | main.py              | 28     | Item Data: 28                            | system       | information  |
| 2025-10-15 17:03:57       | 70           | 28           | main                      | main.py              | 34     | Fim Processo Item:                       | system       | information  |
|                           |              |              |                           |                      |        | C:\BOT\EXTREL_QFVD_02_151025P_MOV.TXT -  |              |              |
|                           |              |              |                           |                      |        | Status: SUCCESS                          |              |              |
| 2025-10-15 17:03:58       | 70           | 29           | main                      | main.py              | 28     | Item Data: 29                            | system       | information  |
| 2025-10-15 17:03:59       | 70           | 29           | main                      | main.py              | 34     | Fim Processo Item:                       | system       | information  |
|                           |              |              |                           |                      |        | C:\BOT\FORN_DW07_02_151025P_MOV.TXT -    |              |              |
|                           |              |              |                           |                      |        | Status: SUCCESS                          |              |              |
| 2025-10-15 17:04:00       | 70           | 30           | main                      | main.py              | 28     | Item Data: 30                            | system       | information  |
| 2025-10-15 17:04:00       | 70           | 30           | main                      | main.py              | 34     | Fim Processo Item:                       | system       | information  |
|                           |              |              |                           |                      |        | C:\BOT\SAL_DW07_02_131025P_MOV.TXT -     |              |              |
|                           |              |              |                           |                      |        | Status: SUCCESS                          |              |              |
| 2025-10-15 17:04:01       | 70           | N/A          | main                      | main.py              | 48     | ExecutionID: 70 - Process: FIN001_V3 -   | system       | information  |
|                           |              |              |                           |                      |        | Status: SUCCESS                          |              |              |
| 2025-10-15 17:04:02       | 70           | N/A          | main                      | main.py              | 55     | ExecutionID: 70 - Process: FIN001_V3 -   | system       | information  |
|                           |              |              |                           |                      |        | Status: FINISHED                         |              |              |
+---------------------------+--------------+--------------+---------------------------+----------------------+--------+------------------------------------------+--------------+--------------+
