+---------------------------+--------------+--------------+---------------------------+----------------------+--------+------------------------------------------+--------------+--------------+
|         TIMESTAMP         |    EXEC_ID   |   TRANS_ID   |          FUNCTION         |         FILE         |  LINE  |                  MESSAGE                 |   PROC_TYPE  |    STATUS    |
+---------------------------+--------------+--------------+---------------------------+----------------------+--------+------------------------------------------+--------------+--------------+
| 2025-10-15 16:57:12       | 69           | N/A          | main                      | main.py              | 12     | ExecutionID: 69 - Process: FIN001_V3 -   | system       | information  |
|                           |              |              |                           |                      |        | Status: STARTING                         |              |              |
| 2025-10-15 16:57:13       | 69           | N/A          | verificarPasta            | verificarArquivoInpu | 20     | Iniciando verificação da pasta de        | system       | information  |
|                           |              |              |                           |                      |        | entrada                                  |              |              |
| 2025-10-15 16:57:13       | 69           | N/A          | verificarPasta            | verificarArquivoInpu | 38     | Feriados encontrados:                    | system       | information  |
|                           |              |              |                           |                      |        | {datetime.date(2025, 6, 19),             |              |              |
|                           |              |              |                           |                      |        | datetime.date(2025, 12, 25),             |              |              |
|                           |              |              |                           |                      |        | datetime.date(2025, 7, 9),               |              |              |
|                           |              |              |                           |                      |        | datetime.date(2024, 1, 1),               |              |              |
|                           |              |              |                           |                      |        | datetime.date(2025, 11, 20)}             |              |              |
| 2025-10-15 16:57:14       | 69           | N/A          | verificarPasta            | verificarArquivoInpu | 55     | Caminho da pasta a processar:            | system       | information  |
|                           |              |              |                           |                      |        | U:\Financeiro\05- RPA\A                  |              |              |
|                           |              |              |                           |                      |        | PROCESSAR\10.2025\14                     |              |              |
| 2025-10-15 16:57:14       | 69           | N/A          | verificarPasta            | verificarArquivoInpu | 78     | Arquivos encontrados na pasta:           | system       | information  |
|                           |              |              |                           |                      |        | ['SAL_DW07_02_131025P_MOV.TXT',          |              |              |
|                           |              |              |                           |                      |        | 'FORN_DW07_02_151025P_MOV.TXT',          |              |              |
|                           |              |              |                           |                      |        | 'EXTREL_QFVD_02_151025P_MOV.TXT']        |              |              |
| 2025-10-15 16:57:14       | 69           | N/A          | verificarPasta            | verificarArquivoInpu | 79     | Arquivo SAL encontrado:                  | system       | information  |
|                           |              |              |                           |                      |        | SAL_DW07_02_131025P_MOV.TXT              |              |              |
| 2025-10-15 16:57:15       | 69           | N/A          | verificarPasta            | verificarArquivoInpu | 80     | Arquivo FORN encontrado:                 | system       | information  |
|                           |              |              |                           |                      |        | FORN_DW07_02_151025P_MOV.TXT             |              |              |
| 2025-10-15 16:57:15       | 69           | N/A          | verificarPasta            | verificarArquivoInpu | 81     | Arquivo EXTREL encontrado:               | system       | information  |
|                           |              |              |                           |                      |        | EXTREL_QFVD_02_151025P_MOV.TXT           |              |              |
| 2025-10-15 16:57:16       | 69           | N/A          | movimentarArquivoParaLoca | verificarArquivoInpu | 103    | Iniciando movimentação de arquivos para  | system       | information  |
|                           |              |              |                           |                      |        | pasta temporária local: C:\BOT           |              |              |
| 2025-10-15 16:57:16       | 69           | N/A          | movimentarArquivoParaLoca | verificarArquivoInpu | 118    | Arquivos movidos para pasta temporária   | system       | information  |
|                           |              |              |                           |                      |        | local: ['C:\\BOT\\EXTREL_QFVD_02_151025P |              |              |
|                           |              |              |                           |                      |        | _MOV.TXT',                               |              |              |
|                           |              |              |                           |                      |        | 'C:\\BOT\\FORN_DW07_02_151025P_MOV.TXT', |              |              |
|                           |              |              |                           |                      |        | 'C:\\BOT\\SAL_DW07_02_131025P_MOV.TXT']  |              |              |
| 2025-10-15 16:57:17       | 69           | 25           | main                      | main.py              | 28     | Item Data: 25                            | system       | information  |
| 2025-10-15 16:57:18       | 69           | 25           | main                      | main.py              | 34     | Uso do Item dentro do try                | system       | information  |
| 2025-10-15 16:57:18       | 69           | 26           | main                      | main.py              | 28     | Item Data: 26                            | system       | information  |
| 2025-10-15 16:57:19       | 69           | 26           | main                      | main.py              | 34     | Uso do Item dentro do try                | system       | information  |
| 2025-10-15 16:57:20       | 69           | 27           | main                      | main.py              | 28     | Item Data: 27                            | system       | information  |
| 2025-10-15 16:57:21       | 69           | 27           | main                      | main.py              | 34     | Uso do Item dentro do try                | system       | information  |
| 2025-10-15 16:57:22       | 69           | N/A          | main                      | main.py              | 48     | ExecutionID: 69 - Process: FIN001_V3 -   | system       | information  |
|                           |              |              |                           |                      |        | Status: SUCCESS                          |              |              |
| 2025-10-15 16:57:22       | 69           | N/A          | main                      | main.py              | 55     | ExecutionID: 69 - Process: FIN001_V3 -   | system       | information  |
|                           |              |              |                           |                      |        | Status: FINISHED                         |              |              |
+---------------------------+--------------+--------------+---------------------------+----------------------+--------+------------------------------------------+--------------+--------------+
